"There was an error occurred during paying process.","Erreur lors du process de paiement."
"An error has occured","Une erreur est survenue"
"An error occurred during the payment process.","Erreur lors du process de paiement."
"Bank","Banque"
"Credit Mutuel","Crédit Mutuel"
"Customer Interface language","Langue de l'interface client"
"Customer has returned from Cybermut.","Le client est revenu de Cybermut."
"Customer was redirected to Cybermut","Le client a été redirigé vers Cybermut"
"Debug","Déboguage"
"Dutch","Néerlandais"
"Enabled","Activé"
"English","Anglais"
"French","Français"
"German","Allemand"
"Groupe CIC","Groupe CIC"
"Italian","Italien"
"Key","Clé"
"New Order Status","Statut d'une nouvelle commande"
"OBC","OBC"
"Order #%s","Commande n°%s"
"Order number will be used if left empty.","C'est le numéro de commande qui sera utilisé si ce champ est vide."
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Returned MAC is invalid. Order cancelled.","Le code MAC retourné est invalide. La commande a été annulée."
"SHA Key","Clé SHA"
"Site Code","Code du site"
"Sort Order","Ordre de tri"
"Spain","Espagne"
"TPE Number","Numéro de TPE"
"Test Mode","Mode test"
"The customer successfully returned from Cybermut.","Le client est revenu de Cybermut."
"Title","Titre"
"Transaction Description","Description de la transaction"
"You will be redirected to Cybermut in a few seconds.","Vous serez redirigé vers le site de Cybermut dans quelques secondes."
"You will be redirected to Cybermut website when you place an order.","Vous serez redirigé vers le site de Cybermut à l'issue de votre commande."
"Warning: the module Mage_Cybermut must be uninstalled.","Attention : le module Mage_Cybermut doit être désinstaller."
"Payment from applicable countries","Mode de paiement autorisé pour"
"Payment from Specific countries","Mode de paiement autorisé pour les pays spécifiques"
"Order status when payment canceled by customer", "Statut des commandes dont le paiement a été annulé par le client"
"Order status when payment accepted by Cybermut", "Statut des commandes dont le paiement est accepté par Cybermut"
"Order status when payment refused by Cybermut", "Statut des commandes dont le paiement est refusé par Cybermut"
"Site code","Code du site"
"Default Cybermut Interface language","Langue par défaut de l'interface Cybermut"
"Test mode","Mode test"
"TPE number","Numéro TPE"
"New order status","Statut de commande"
"Sort order","Ordre de tri"
"The payment was canceled.","Le paiement a été annulé."
"Create invoice when payment accepted","Créer une facture quand le paiement est accepté"
"Empty cart when payment refused by Cybermut or canceled by customer","Vider le panier quand le paiement est refusé par Cybermut ou annulé par le client"
"Enabled several times payment","Activer le paiement en plusieurs fois"
"Number of terms","Nombre d'échéances"
"Only if several times payment is enabled","Seulement si les paiement en plusieurs fois est activé"
"Order number will be used if left empty","Le numéro de commande sera utilisé par défaut"
"Preference will be given to store language chosen by the user","La préférence sera donnée à la langue du magasin choisi par l'utilisateur"
